scenario,agent_id,hour,rule,wanted_shelter,chosen_shelter,target_cell_x,target_cell_y,reason
baseline,32,1,baseline,0,,,,no policy intervention
baseline,33,1,baseline,0,,,,no policy intervention
baseline,34,1,baseline,0,,,,no policy intervention
baseline,35,1,baseline,0,,,,no policy intervention
baseline,36,1,baseline,0,,,,no policy intervention
baseline,37,1,baseline,0,,,,no policy intervention
baseline,38,1,baseline,0,,,,no policy intervention
baseline,39,1,baseline,0,,,,no policy intervention
baseline,40,1,baseline,0,,,,no policy intervention
baseline,41,1,baseline,0,,,,no policy intervention
baseline,42,1,baseline,0,,,,no policy intervention
baseline,43,1,baseline,0,,,,no policy intervention
baseline,44,1,baseline,0,,,,no policy intervention
baseline,45,1,baseline,0,,,,no policy intervention
baseline,46,1,baseline,0,,,,no policy intervention
baseline,47,1,baseline,0,,,,no policy intervention
baseline,48,1,baseline,0,,,,no policy intervention
baseline,49,1,baseline,0,,,,no policy intervention
baseline,50,1,baseline,0,,,,no policy intervention
baseline,51,1,baseline,0,,,,no policy intervention
baseline,52,1,baseline,0,,,,no policy intervention
baseline,53,1,baseline,0,,,,no policy intervention
baseline,54,1,baseline,0,,,,no policy intervention
baseline,55,1,baseline,0,,,,no policy intervention
baseline,56,1,baseline,0,,,,no policy intervention
baseline,57,1,baseline,0,,,,no policy intervention
baseline,58,1,baseline,0,,,,no policy intervention
baseline,59,1,baseline,0,,,,no policy intervention
baseline,60,1,baseline,0,,,,no policy intervention
baseline,61,1,baseline,0,,,,no policy intervention
baseline,62,1,baseline,0,,,,no policy intervention
baseline,63,1,baseline,0,,,,no policy intervention
baseline,64,1,baseline,0,,,,no policy intervention
baseline,65,1,baseline,0,,,,no policy intervention
baseline,66,1,baseline,0,,,,no policy intervention
baseline,67,1,baseline,0,,,,no policy intervention
baseline,68,1,baseline,0,,,,no policy intervention
baseline,69,1,baseline,0,,,,no policy intervention
baseline,70,1,baseline,0,,,,no policy intervention
baseline,71,1,baseline,0,,,,no policy intervention
baseline,72,1,baseline,0,,,,no policy intervention
baseline,73,1,baseline,0,,,,no policy intervention
baseline,74,1,baseline,0,,,,no policy intervention
baseline,75,1,baseline,0,,,,no policy intervention
baseline,76,1,baseline,0,,,,no policy intervention
baseline,77,1,baseline,0,,,,no policy intervention
baseline,78,1,baseline,0,,,,no policy intervention
baseline,79,1,baseline,0,,,,no policy intervention
baseline,80,1,baseline,0,,,,no policy intervention
baseline,81,1,baseline,0,,,,no policy intervention
baseline,82,1,baseline,0,,,,no policy intervention
baseline,83,1,baseline,0,,,,no policy intervention
baseline,84,1,baseline,0,,,,no policy intervention
baseline,85,1,baseline,0,,,,no policy intervention
baseline,86,1,baseline,0,,,,no policy intervention
baseline,87,1,baseline,0,,,,no policy intervention
baseline,88,1,baseline,0,,,,no policy intervention
baseline,89,1,baseline,0,,,,no policy intervention
baseline,90,1,baseline,0,,,,no policy intervention
baseline,91,1,baseline,0,,,,no policy intervention
baseline,92,1,baseline,0,,,,no policy intervention
baseline,93,1,baseline,0,,,,no policy intervention
baseline,94,1,baseline,0,,,,no policy intervention
baseline,95,1,baseline,0,,,,no policy intervention
baseline,96,1,baseline,0,,,,no policy intervention
baseline,97,1,baseline,0,,,,no policy intervention
baseline,98,1,baseline,0,,,,no policy intervention
baseline,99,1,baseline,0,,,,no policy intervention
baseline,100,1,baseline,0,,,,no policy intervention
baseline,101,1,baseline,0,,,,no policy intervention
baseline,102,1,baseline,0,,,,no policy intervention
baseline,103,1,baseline,0,,,,no policy intervention
baseline,104,1,baseline,0,,,,no policy intervention
baseline,105,1,baseline,0,,,,no policy intervention
baseline,106,1,baseline,0,,,,no policy intervention
baseline,107,1,baseline,0,,,,no policy intervention
baseline,108,1,baseline,0,,,,no policy intervention
baseline,109,1,baseline,0,,,,no policy intervention
baseline,110,1,baseline,0,,,,no policy intervention
baseline,111,1,baseline,0,,,,no policy intervention
baseline,112,1,baseline,0,,,,no policy intervention
baseline,113,1,baseline,0,,,,no policy intervention
baseline,114,1,baseline,0,,,,no policy intervention
baseline,115,1,baseline,0,,,,no policy intervention
baseline,116,1,baseline,0,,,,no policy intervention
baseline,117,1,baseline,0,,,,no policy intervention
baseline,118,1,baseline,0,,,,no policy intervention
baseline,119,1,baseline,0,,,,no policy intervention
baseline,120,1,baseline,0,,,,no policy intervention
baseline,121,1,baseline,0,,,,no policy intervention
baseline,122,1,baseline,0,,,,no policy intervention
baseline,123,1,baseline,0,,,,no policy intervention
baseline,124,1,baseline,0,,,,no policy intervention
baseline,125,1,baseline,0,,,,no policy intervention
baseline,126,1,baseline,0,,,,no policy intervention
baseline,127,1,baseline,0,,,,no policy intervention
baseline,128,1,baseline,0,,,,no policy intervention
baseline,129,1,baseline,0,,,,no policy intervention
baseline,130,1,baseline,0,,,,no policy intervention
baseline,131,1,baseline,0,,,,no policy intervention
baseline,132,1,baseline,0,,,,no policy intervention
baseline,133,1,baseline,0,,,,no policy intervention
baseline,134,1,baseline,0,,,,no policy intervention
baseline,135,1,baseline,0,,,,no policy intervention
baseline,136,1,baseline,0,,,,no policy intervention
baseline,137,1,baseline,0,,,,no policy intervention
baseline,138,1,baseline,0,,,,no policy intervention
baseline,139,1,baseline,0,,,,no policy intervention
baseline,140,1,baseline,0,,,,no policy intervention
baseline,141,1,baseline,0,,,,no policy intervention
baseline,142,1,baseline,0,,,,no policy intervention
baseline,143,1,baseline,0,,,,no policy intervention
baseline,144,1,baseline,0,,,,no policy intervention
baseline,145,1,baseline,0,,,,no policy intervention
baseline,146,1,baseline,0,,,,no policy intervention
baseline,147,1,baseline,0,,,,no policy intervention
baseline,148,1,baseline,0,,,,no policy intervention
baseline,149,1,baseline,0,,,,no policy intervention
baseline,150,1,baseline,0,,,,no policy intervention
baseline,151,1,baseline,0,,,,no policy intervention
baseline,152,1,baseline,0,,,,no policy intervention
baseline,153,1,baseline,0,,,,no policy intervention
baseline,154,1,baseline,0,,,,no policy intervention
baseline,155,1,baseline,0,,,,no policy intervention
baseline,156,1,baseline,0,,,,no policy intervention
baseline,157,1,baseline,0,,,,no policy intervention
baseline,158,1,baseline,0,,,,no policy intervention
baseline,159,1,baseline,0,,,,no policy intervention
baseline,160,1,baseline,0,,,,no policy intervention
baseline,161,1,baseline,0,,,,no policy intervention
baseline,162,1,baseline,0,,,,no policy intervention
baseline,163,1,baseline,0,,,,no policy intervention
baseline,164,1,baseline,0,,,,no policy intervention
baseline,165,1,baseline,0,,,,no policy intervention
baseline,166,1,baseline,0,,,,no policy intervention
baseline,167,1,baseline,0,,,,no policy intervention
baseline,168,1,baseline,0,,,,no policy intervention
baseline,169,1,baseline,0,,,,no policy intervention
baseline,170,1,baseline,0,,,,no policy intervention
baseline,171,1,baseline,0,,,,no policy intervention
baseline,172,1,baseline,0,,,,no policy intervention
baseline,173,1,baseline,0,,,,no policy intervention
baseline,174,1,baseline,0,,,,no policy intervention
baseline,175,1,baseline,0,,,,no policy intervention
baseline,176,1,baseline,0,,,,no policy intervention
baseline,177,1,baseline,0,,,,no policy intervention
baseline,178,1,baseline,0,,,,no policy intervention
baseline,179,1,baseline,0,,,,no policy intervention
baseline,180,1,baseline,0,,,,no policy intervention
baseline,181,1,baseline,0,,,,no policy intervention
baseline,182,1,baseline,0,,,,no policy intervention
baseline,183,1,baseline,0,,,,no policy intervention
baseline,184,1,baseline,0,,,,no policy intervention
baseline,185,1,baseline,0,,,,no policy intervention
baseline,186,1,baseline,0,,,,no policy intervention
baseline,187,1,baseline,0,,,,no policy intervention
baseline,188,1,baseline,0,,,,no policy intervention
baseline,189,1,baseline,0,,,,no policy intervention
baseline,190,1,baseline,0,,,,no policy intervention
baseline,191,1,baseline,0,,,,no policy intervention
baseline,192,1,baseline,0,,,,no policy intervention
baseline,193,1,baseline,0,,,,no policy intervention
baseline,194,1,baseline,0,,,,no policy intervention
baseline,195,1,baseline,0,,,,no policy intervention
baseline,196,1,baseline,0,,,,no policy intervention
baseline,197,1,baseline,0,,,,no policy intervention
baseline,198,1,baseline,0,,,,no policy intervention
baseline,199,1,baseline,0,,,,no policy intervention
baseline,200,1,baseline,0,,,,no policy intervention
baseline,201,1,baseline,0,,,,no policy intervention
baseline,202,1,baseline,0,,,,no policy intervention
baseline,203,1,baseline,0,,,,no policy intervention
baseline,204,1,baseline,0,,,,no policy intervention
baseline,205,1,baseline,0,,,,no policy intervention
baseline,206,1,baseline,0,,,,no policy intervention
baseline,207,1,baseline,0,,,,no policy intervention
baseline,208,1,baseline,0,,,,no policy intervention
baseline,209,1,baseline,0,,,,no policy intervention
baseline,210,1,baseline,0,,,,no policy intervention
baseline,211,1,baseline,0,,,,no policy intervention
baseline,212,1,baseline,0,,,,no policy intervention
baseline,213,1,baseline,0,,,,no policy intervention
baseline,214,1,baseline,0,,,,no policy intervention
baseline,215,1,baseline,0,,,,no policy intervention
baseline,216,1,baseline,0,,,,no policy intervention
baseline,217,1,baseline,0,,,,no policy intervention
baseline,218,1,baseline,0,,,,no policy intervention
baseline,219,1,baseline,0,,,,no policy intervention
baseline,220,1,baseline,0,,,,no policy intervention
baseline,221,1,baseline,0,,,,no policy intervention
baseline,222,1,baseline,0,,,,no policy intervention
baseline,223,1,baseline,0,,,,no policy intervention
baseline,224,1,baseline,0,,,,no policy intervention
baseline,225,1,baseline,0,,,,no policy intervention
baseline,226,1,baseline,0,,,,no policy intervention
baseline,227,1,baseline,0,,,,no policy intervention
baseline,228,1,baseline,0,,,,no policy intervention
baseline,229,1,baseline,0,,,,no policy intervention
baseline,230,1,baseline,0,,,,no policy intervention
baseline,231,1,baseline,0,,,,no policy intervention
baseline,232,1,baseline,0,,,,no policy intervention
baseline,233,1,baseline,0,,,,no policy intervention
baseline,234,1,baseline,0,,,,no policy intervention
baseline,235,1,baseline,0,,,,no policy intervention
baseline,236,1,baseline,0,,,,no policy intervention
baseline,237,1,baseline,0,,,,no policy intervention
baseline,238,1,baseline,0,,,,no policy intervention
baseline,239,1,baseline,0,,,,no policy intervention
baseline,0,2,baseline,0,,,,no policy intervention
baseline,1,2,baseline,0,,,,no policy intervention
baseline,2,2,baseline,0,,,,no policy intervention
baseline,3,2,baseline,0,,,,no policy intervention
baseline,4,2,baseline,0,,,,no policy intervention
baseline,5,2,baseline,0,,,,no policy intervention
baseline,6,2,baseline,0,,,,no policy intervention
baseline,7,2,baseline,0,,,,no policy intervention
baseline,8,2,baseline,0,,,,no policy intervention
baseline,9,2,baseline,0,,,,no policy intervention
baseline,10,2,baseline,0,,,,no policy intervention
baseline,11,2,baseline,0,,,,no policy intervention
baseline,12,2,baseline,0,,,,no policy intervention
baseline,13,2,baseline,0,,,,no policy intervention
baseline,14,2,baseline,0,,,,no policy intervention
baseline,15,2,baseline,0,,,,no policy intervention
baseline,16,2,baseline,0,,,,no policy intervention
baseline,17,2,baseline,0,,,,no policy intervention
baseline,18,2,baseline,0,,,,no policy intervention
baseline,19,2,baseline,0,,,,no policy intervention
baseline,20,2,baseline,0,,,,no policy intervention
baseline,21,2,baseline,0,,,,no policy intervention
baseline,22,2,baseline,0,,,,no policy intervention
baseline,23,2,baseline,0,,,,no policy intervention
baseline,24,2,baseline,0,,,,no policy intervention
baseline,25,2,baseline,0,,,,no policy intervention
baseline,26,2,baseline,0,,,,no policy intervention
baseline,27,2,baseline,0,,,,no policy intervention
baseline,28,2,baseline,0,,,,no policy intervention
baseline,29,2,baseline,0,,,,no policy intervention
baseline,30,2,baseline,0,,,,no policy intervention
baseline,31,2,baseline,0,,,,no policy intervention
baseline,32,2,baseline,0,,,,no policy intervention
baseline,33,2,baseline,0,,,,no policy intervention
baseline,34,2,baseline,0,,,,no policy intervention
baseline,35,2,baseline,0,,,,no policy intervention
baseline,36,2,baseline,0,,,,no policy intervention
baseline,37,2,baseline,0,,,,no policy intervention
baseline,38,2,baseline,0,,,,no policy intervention
baseline,39,2,baseline,0,,,,no policy intervention
baseline,40,2,baseline,0,,,,no policy intervention
baseline,41,2,baseline,0,,,,no policy intervention
baseline,42,2,baseline,0,,,,no policy intervention
baseline,43,2,baseline,0,,,,no policy intervention
baseline,44,2,baseline,0,,,,no policy intervention
baseline,45,2,baseline,0,,,,no policy intervention
baseline,46,2,baseline,0,,,,no policy intervention
baseline,47,2,baseline,0,,,,no policy intervention
baseline,48,2,baseline,0,,,,no policy intervention
baseline,49,2,baseline,0,,,,no policy intervention
baseline,50,2,baseline,0,,,,no policy intervention
baseline,51,2,baseline,0,,,,no policy intervention
baseline,52,2,baseline,0,,,,no policy intervention
baseline,53,2,baseline,0,,,,no policy intervention
baseline,54,2,baseline,0,,,,no policy intervention
baseline,55,2,baseline,0,,,,no policy intervention
baseline,56,2,baseline,0,,,,no policy intervention
baseline,57,2,baseline,0,,,,no policy intervention
baseline,58,2,baseline,0,,,,no policy intervention
baseline,59,2,baseline,0,,,,no policy intervention
baseline,60,2,baseline,0,,,,no policy intervention
baseline,61,2,baseline,0,,,,no policy intervention
baseline,62,2,baseline,0,,,,no policy intervention
baseline,63,2,baseline,0,,,,no policy intervention
baseline,64,2,baseline,0,,,,no policy intervention
baseline,65,2,baseline,0,,,,no policy intervention
baseline,66,2,baseline,0,,,,no policy intervention
baseline,67,2,baseline,0,,,,no policy intervention
baseline,68,2,baseline,0,,,,no policy intervention
baseline,69,2,baseline,0,,,,no policy intervention
baseline,70,2,baseline,0,,,,no policy intervention
baseline,71,2,baseline,0,,,,no policy intervention
baseline,72,2,baseline,0,,,,no policy intervention
baseline,73,2,baseline,0,,,,no policy intervention
baseline,74,2,baseline,0,,,,no policy intervention
baseline,75,2,baseline,0,,,,no policy intervention
baseline,76,2,baseline,0,,,,no policy intervention
baseline,77,2,baseline,0,,,,no policy intervention
baseline,78,2,baseline,0,,,,no policy intervention
baseline,79,2,baseline,0,,,,no policy intervention
baseline,80,2,baseline,0,,,,no policy intervention
baseline,81,2,baseline,0,,,,no policy intervention
baseline,82,2,baseline,0,,,,no policy intervention
baseline,83,2,baseline,0,,,,no policy intervention
baseline,84,2,baseline,0,,,,no policy intervention
baseline,85,2,baseline,0,,,,no policy intervention
baseline,86,2,baseline,0,,,,no policy intervention
baseline,87,2,baseline,0,,,,no policy intervention
