scenario,agent_id,hour,vulnerability_score,age_bucket,cell_x,cell_y,raw_heat,effective_exposure,in_shelter,shelter_building_id
proactive,216,0,0.3687606793764565,adult,14,5,0.1361,0.1361,0,
proactive,217,0,0.2538767051714499,adult,12,8,0.0,0.0,0,
proactive,218,0,0.2824197149857894,adult,8,6,0.1994,0.1994,0,
proactive,219,0,0.5636693672210529,child,1,1,0.5178,0.5178,0,
proactive,220,0,0.6948217456126036,child,16,0,0.4473,0.4473,0,
proactive,221,0,0.8780226911713226,elderly,2,3,0.2136,0.2136,0,
proactive,222,0,0.30180138271631185,adult,3,9,0.0,0.0,0,
proactive,223,0,0.19113770908623962,adult,5,8,0.0719,0.0719,0,
proactive,224,0,0.22956484340680797,adult,13,1,0.5389,0.5389,0,
proactive,225,0,0.2188924625952585,adult,1,6,0.1328,0.1328,0,
proactive,226,0,0.688413136429157,elderly,7,2,0.4768,0.4768,0,
proactive,227,0,0.7561906848382751,elderly,8,2,0.5176,0.5176,0,
proactive,228,0,0.566836488720734,child,4,1,0.5032,0.5032,0,
proactive,229,0,0.5049212893202911,child,9,6,0.1355,0.1355,0,
proactive,230,0,0.2379441270070261,adult,14,3,0.1603,0.1603,0,
proactive,231,0,0.21828841423349848,adult,15,9,0.0,0.0,0,
proactive,232,0,0.1839452306394218,adult,8,5,0.3943,0.3943,0,
proactive,233,0,0.29492040259128455,adult,2,9,0.0057,0.0057,0,
proactive,234,0,0.29013491932937124,adult,5,8,0.0719,0.0719,0,
proactive,235,0,0.34669130855252334,adult,13,3,0.1232,0.1232,0,
proactive,236,0,0.28232450555661204,adult,11,7,0.0,0.0,0,
proactive,237,0,0.5757509116895175,child,6,4,0.171,0.171,0,
proactive,238,0,0.5403723756597331,child,8,4,0.4401,0.4401,0,
proactive,239,0,0.5952182201485263,child,7,3,0.1951,0.1951,0,
proactive,0,1,0.5380812195557422,child,8,9,0.0,0.0,0,
proactive,1,1,0.5438885528571922,child,16,5,0.1994,0.1994,0,
proactive,2,1,0.7202561588196462,elderly,19,8,0.0,0.0,0,
proactive,3,1,0.216473321571373,adult,14,3,0.1702,0.1702,0,
proactive,4,1,0.179291256914281,adult,15,1,0.4548,0.4548,0,
proactive,5,1,0.7742080791371789,elderly,13,0,0.4671,0.4671,0,
proactive,6,1,0.6860132284779408,elderly,17,0,0.4725,0.4725,0,
proactive,7,1,0.24933523196076668,adult,3,1,0.4409,0.4409,0,
proactive,8,1,0.6343234811450121,child,6,6,0.1458,0.1458,0,
proactive,9,1,0.2937927377360272,adult,1,1,0.522,0.522,0,
proactive,10,1,0.29067965400666446,adult,9,1,0.5585,0.5585,0,
proactive,11,1,0.29337902378575376,adult,11,2,0.4604,0.4604,0,
proactive,12,1,0.2580821854764632,adult,8,2,0.4665,0.4665,0,
proactive,13,1,0.23208808428151181,adult,7,6,0.1989,0.1989,0,
proactive,14,1,0.22746461649058938,adult,5,5,0.133,0.133,0,
proactive,15,1,0.4919996898463789,child,16,1,0.5735,0.5735,0,
proactive,16,1,0.7297879386484595,child,14,9,0.0,0.0,0,
proactive,17,1,0.6910243835711712,elderly,9,9,0.0,0.0,0,
proactive,18,1,0.27290224990437284,adult,12,4,0.3999,0.3999,0,
proactive,19,1,0.5918994514851882,child,11,9,0.0242,0.0242,0,
proactive,20,1,0.20000931813748296,adult,6,6,0.1458,0.1458,0,
proactive,21,1,0.2566225962051309,adult,9,1,0.5585,0.5585,0,
proactive,22,1,0.2636593411524598,adult,11,0,0.4767,0.4767,0,
proactive,23,1,0.6949427075347202,child,0,4,0.274,0.274,0,
proactive,24,1,0.36652485810151314,adult,13,1,0.4699,0.4699,0,
proactive,25,1,0.2443193234562278,adult,6,4,0.1279,0.1279,0,
proactive,26,1,0.3010033863387559,adult,13,5,0.1247,0.1247,0,
proactive,27,1,0.264862699158784,adult,11,2,0.4604,0.4604,0,
proactive,28,1,0.25879019854094,adult,3,2,0.4978,0.4978,0,
proactive,29,1,0.31974955111962444,adult,1,7,0.0,0.0,0,
proactive,30,1,0.1555928571749553,adult,6,4,0.1279,0.1279,0,
proactive,31,1,0.548458082951535,child,8,1,0.4262,0.4262,0,
proactive,32,1,0.2544761312097897,adult,18,3,0.1225,0.1225,0,
proactive,33,1,0.3227939887511161,adult,12,1,0.5089,0.5089,0,
proactive,34,1,0.6558716694259125,child,6,8,0.0,0.0,0,
proactive,35,1,0.5492700374659585,child,4,4,0.1655,0.1655,0,
proactive,36,1,0.28742961388729216,adult,9,8,0.0,0.0,0,
proactive,37,1,0.862770385621313,elderly,3,2,0.4978,0.4978,0,
proactive,38,1,0.23693857704201632,adult,9,5,0.4355,0.4355,0,
proactive,39,1,0.2454791545887237,adult,5,4,0.1214,0.1214,0,
proactive,40,1,0.583334998890488,child,10,1,0.5078,0.5078,0,
proactive,41,1,0.2636638551640602,adult,13,9,0.0562,0.0562,0,
proactive,42,1,0.9350941601422765,elderly,3,1,0.4409,0.4409,0,
proactive,43,1,0.21562936030731708,adult,1,6,0.1677,0.1677,0,
proactive,44,1,0.5397436170004551,child,19,3,0.1078,0.1078,0,
proactive,45,1,0.18354442553252845,adult,17,2,0.4614,0.4614,0,
proactive,46,1,0.27255587776068274,adult,11,0,0.4767,0.4767,0,
proactive,47,1,0.30152879677991906,adult,6,5,0.2056,0.2056,0,
proactive,48,1,0.2424720207354753,adult,12,8,0.003,0.003,0,
proactive,49,1,0.7645513584523809,elderly,18,1,0.4224,0.4224,0,
proactive,50,1,0.41514306586559097,adult,9,8,0.0,0.0,0,
proactive,51,1,0.2061884568547753,adult,1,1,0.522,0.522,0,
proactive,52,1,0.31853752554381776,adult,12,3,0.4143,0.4143,0,
proactive,53,1,0.2638404878487771,adult,17,7,0.0,0.0,0,
proactive,54,1,0.21400695401395703,adult,4,0,0.457,0.457,0,
proactive,55,1,0.3026292881022382,adult,17,3,0.1461,0.1461,0,
proactive,56,1,0.7372548908762495,elderly,4,0,0.457,0.457,0,
proactive,57,1,0.2208870448850433,adult,18,8,0.0057,0.0057,0,
proactive,58,1,0.3144823244892736,adult,7,2,0.5661,0.5661,0,
proactive,59,1,0.22063955497119142,adult,14,6,0.1821,0.1821,0,
proactive,60,1,0.5166058535491507,child,10,5,0.5101,0.5101,0,
proactive,61,1,0.23464792877787313,adult,7,3,0.253,0.253,0,
proactive,62,1,0.7780271499327811,elderly,15,3,0.1697,0.1697,0,
proactive,63,1,0.7701272985546185,elderly,15,7,0.0,0.0,0,
proactive,64,1,0.260395348860413,adult,3,9,0.0,0.0,0,
proactive,65,1,0.18124989624959473,adult,0,6,0.1227,0.1227,0,
proactive,66,1,0.7479987221088478,elderly,14,2,0.5776,0.5776,0,
proactive,67,1,0.2747694705910339,adult,19,0,0.4606,0.4606,0,
proactive,68,1,0.2623728676439467,adult,13,3,0.196,0.196,0,
proactive,69,1,0.3475954363017591,adult,13,3,0.196,0.196,0,
proactive,70,1,0.18683697056304266,adult,17,4,0.2118,0.2118,0,
proactive,71,1,0.2252873014963322,adult,4,8,0.0,0.0,0,
proactive,72,1,0.3073174185068305,adult,11,5,0.4355,0.4355,0,
proactive,73,1,0.28651314785661347,adult,16,5,0.1994,0.1994,0,
proactive,74,1,0.7497164804572996,elderly,10,3,0.401,0.401,0,
proactive,75,1,0.8576126643135189,elderly,19,8,0.0,0.0,0,
proactive,76,1,0.24339714453787592,adult,17,4,0.2118,0.2118,0,
proactive,77,1,0.5658695094941405,child,16,3,0.1828,0.1828,0,
proactive,78,1,0.2557292455827229,adult,8,8,0.0,0.0,0,
proactive,79,1,0.31274852127145286,adult,2,8,0.0,0.0,0,
proactive,80,1,0.24192319037630758,adult,0,9,0.0,0.0,0,
proactive,81,1,0.7495257436955758,elderly,12,2,0.5562,0.5562,0,
proactive,82,1,0.2094635281564155,adult,13,2,0.4278,0.4278,0,
proactive,83,1,0.2368250785688548,adult,13,0,0.4671,0.4671,0,
proactive,84,1,0.7597628712547879,elderly,14,1,0.5077,0.5077,0,
proactive,85,1,0.2134449412553841,adult,12,7,0.0,0.0,0,
proactive,86,1,0.26029034175119803,adult,8,0,0.4842,0.4842,0,
proactive,87,1,0.8739793646798583,elderly,10,0,0.5556,0.5556,0,
proactive,88,1,0.23068402377938965,adult,16,6,0.0827,0.0827,0,
proactive,89,1,0.21593278881496686,adult,11,1,0.5237,0.5237,0,
proactive,90,1,0.7286621276353521,elderly,8,7,0.0564,0.0564,0,
proactive,91,1,0.2651344904420061,adult,5,7,0.0,0.0,0,
proactive,92,1,0.20377115206369537,adult,14,7,0.054,0.054,0,
proactive,93,1,0.20132533923371512,adult,15,7,0.0,0.0,0,
proactive,94,1,0.7049720665964455,elderly,15,0,0.4372,0.4372,0,
proactive,95,1,0.25100462370739207,adult,1,3,0.0745,0.0745,0,
proactive,96,1,0.4955828490431283,child,15,1,0.4548,0.4548,0,
proactive,97,1,0.27283994893939245,adult,7,8,0.0,0.0,0,
proactive,98,1,0.21712454129440448,adult,10,1,0.5078,0.5078,0,
proactive,99,1,0.7185461557640977,elderly,9,7,0.0,0.0,0,
proactive,100,1,0.4754623971272218,child,4,9,0.0,0.0,0,
proactive,101,1,0.814329171491318,elderly,1,9,0.0,0.0,0,
proactive,102,1,0.9382392363354756,elderly,15,7,0.0,0.0,0,
proactive,103,1,0.30010692589416543,adult,14,7,0.054,0.054,0,
proactive,104,1,0.8126300272600911,elderly,7,2,0.5661,0.5661,0,
proactive,105,1,0.23441354547710377,adult,3,2,0.4978,0.4978,0,
proactive,106,1,0.5066140359967927,child,9,5,0.4355,0.4355,0,
proactive,107,1,0.5631658536919568,child,4,0,0.457,0.457,0,
proactive,108,1,0.23073770055214435,adult,4,8,0.0,0.0,0,
proactive,109,1,0.29657377246189087,adult,2,9,0.0,0.0,0,
proactive,110,1,0.27279255604127917,adult,7,4,0.1568,0.1568,0,
proactive,111,1,0.5291861555650081,child,13,5,0.1247,0.1247,0,
proactive,112,1,0.8908951292054481,elderly,16,1,0.5735,0.5735,0,
proactive,113,1,0.5158957569432061,child,12,4,0.3999,0.3999,0,
proactive,114,1,0.8593264155201461,elderly,14,8,0.028,0.028,0,
proactive,115,1,0.32052011433136096,adult,18,6,0.2342,0.2342,0,
proactive,116,1,0.5844185905950111,child,19,1,0.463,0.463,0,
proactive,117,1,0.24225311600942953,adult,12,5,0.4396,0.4396,0,
proactive,118,1,0.2089072670144541,adult,10,8,0.0,0.0,0,
proactive,119,1,0.9022295288833049,elderly,14,9,0.0,0.0,0,
proactive,120,1,0.5289935218684951,child,14,4,0.1503,0.1503,0,
proactive,121,1,0.42582414868915897,adult,5,3,0.1824,0.1824,0,
proactive,122,1,0.321155028793213,adult,6,5,0.2056,0.2056,0,
proactive,123,1,0.6995000220419753,child,14,0,0.493,0.493,0,
