hour_of_year,day,hour_of_day,hour_label,energy_consumed_wh,energy_consumed_kwh,average_power_kw,active_vehicles,active_vehicle_records
289,13,1,year hour 0289,67763.65,67.76365,67.76365,602.0,52182.0
290,13,2,year hour 0290,67864.3,67.8643,67.8643,601.0,52088.0
291,13,3,year hour 0291,67591.19,67.59119,67.59119,601.0,52786.0
292,13,4,year hour 0292,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
293,13,5,year hour 0293,68040.49,68.04049,68.04049,601.0,53095.0
294,13,6,year hour 0294,71032.18,71.03218,71.03218,607.0,53189.0
295,13,7,year hour 0295,68068.45,68.06845,68.06845,595.0,52165.0
296,13,8,year hour 0296,69069.68000000001,69.06968,69.06968,604.0,53833.0
297,13,9,year hour 0297,67953.64,67.95364,67.95364,604.0,52529.0
298,13,10,year hour 0298,67944.94,67.94494,67.94494,602.0,52535.0
299,13,11,year hour 0299,67802.9,67.8029,67.8029,588.0,52375.0
300,13,12,year hour 0300,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
301,13,13,year hour 0301,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
302,13,14,year hour 0302,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
303,13,15,year hour 0303,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
304,13,16,year hour 0304,69555.96,69.55596,69.55596,608.0,53372.0
305,13,17,year hour 0305,68005.42,68.00542,68.00542,598.0,52153.0
306,13,18,year hour 0306,70931.0,70.931,70.931,607.0,53552.0
307,13,19,year hour 0307,67678.63,67.67863,67.67863,599.0,52674.0
308,13,20,year hour 0308,68076.09,68.07609,68.07609,599.0,52651.0
309,13,21,year hour 0309,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
310,13,22,year hour 0310,67821.74,67.82174,67.82174,604.0,52967.0
311,13,23,year hour 0311,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
312,14,0,year hour 0312,84257.97,84.25797,84.25797,627.0,56190.0
313,14,1,year hour 0313,67763.65,67.76365,67.76365,602.0,52182.0
314,14,2,year hour 0314,67864.3,67.8643,67.8643,601.0,52088.0
315,14,3,year hour 0315,67591.19,67.59119,67.59119,601.0,52786.0
316,14,4,year hour 0316,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
317,14,5,year hour 0317,68040.49,68.04049,68.04049,601.0,53095.0
318,14,6,year hour 0318,71032.18,71.03218,71.03218,607.0,53189.0
319,14,7,year hour 0319,68068.45,68.06845,68.06845,595.0,52165.0
320,14,8,year hour 0320,69069.68000000001,69.06968,69.06968,604.0,53833.0
321,14,9,year hour 0321,67953.64,67.95364,67.95364,604.0,52529.0
322,14,10,year hour 0322,67944.94,67.94494,67.94494,602.0,52535.0
323,14,11,year hour 0323,67802.9,67.8029,67.8029,588.0,52375.0
324,14,12,year hour 0324,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
325,14,13,year hour 0325,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
326,14,14,year hour 0326,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
327,14,15,year hour 0327,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
328,14,16,year hour 0328,69555.96,69.55596,69.55596,608.0,53372.0
329,14,17,year hour 0329,68005.42,68.00542,68.00542,598.0,52153.0
330,14,18,year hour 0330,70931.0,70.931,70.931,607.0,53552.0
331,14,19,year hour 0331,67678.63,67.67863,67.67863,599.0,52674.0
332,14,20,year hour 0332,68076.09,68.07609,68.07609,599.0,52651.0
333,14,21,year hour 0333,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
334,14,22,year hour 0334,67821.74,67.82174,67.82174,604.0,52967.0
335,14,23,year hour 0335,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
336,15,0,year hour 0336,84257.97,84.25797,84.25797,627.0,56190.0
337,15,1,year hour 0337,67763.65,67.76365,67.76365,602.0,52182.0
338,15,2,year hour 0338,67864.3,67.8643,67.8643,601.0,52088.0
339,15,3,year hour 0339,67591.19,67.59119,67.59119,601.0,52786.0
340,15,4,year hour 0340,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
